id,省,市,区,街道,社区,X,Y,cp,L1,L2,L3
397,广东省,佛山市,南海区,桂城街道,大德居委会,113.200699,23.039639,"113.200699,22.999639","113.200699,23.079639","113.170699,23.039639","113.230699,23.039639"
398,广东省,佛山市,南海区,九江镇,上西村民委员会,112.988607,22.842197,"112.988607,22.802197","112.988607,22.882197","112.958607,22.842197","113.018607,22.842197"
399,广东省,佛山市,南海区,狮山镇,沙头村民委员会,113.013931,23.128241,"113.013931,23.088241","113.013931,23.168241","112.983931,23.128241","113.043931,23.128241"
430,广东省,河源市,龙川县,登云镇,双桥村委会,115.400112,24.079085,"115.400112,24.039085","115.400112,24.119085","115.370112,24.079085","115.430112,24.079085"
429,广东省,河源市,龙川县,老隆镇,吉祥一路居委会,115.248562,24.115074,"115.248562,24.075074","115.248562,24.155074","115.218562,24.115074","115.278562,24.115074"
431,广东省,河源市,龙川县,黎咀镇,石东村委会,115.339043,24.340849,"115.339043,24.300849","115.339043,24.380849","115.309043,24.340849","115.369043,24.340849"
432,广东省,河源市,龙川县,麻布岗镇,联中村委会,115.446162,24.562203,"115.446162,24.522203","115.446162,24.602203","115.416162,24.562203","115.476162,24.562203"
408,广东省,江门市,恩平市,大槐镇,沙栏村民委员会,112.273538,22.139847,"112.273538,22.099847","112.273538,22.179847","112.243538,22.139847","112.303538,22.139847"
405,广东省,江门市,恩平市,恩城街道,青云社区居委会,112.323318,22.186869,"112.323318,22.146869","112.323318,22.226869","112.293318,22.186869","112.353318,22.186869"
406,广东省,江门市,恩平市,横陂镇,横南村民委员会,112.334194,22.042907,"112.334194,22.002907","112.334194,22.082907","112.304194,22.042907","112.364194,22.042907"
407,广东省,江门市,恩平市,牛江镇,牛江墟镇居委会,112.452357,22.392053,"112.452357,22.352053","112.452357,22.432053","112.422357,22.392053","112.482357,22.392053"
403,广东省,江门市,鹤山市,鹤城镇,坪山村委会,112.786184,22.619606,"112.786184,22.579606","112.786184,22.659606","112.756184,22.619606","112.816184,22.619606"
